,ph,Turbidity,pH_Type,Turbidity_Type,Potability
152,6.579969329,4.575931872,0,1,1
153,4.801154368,4.418638132,0,1,0
154,7.948815718,3.692250861,1,1,1
155,6.906992172000001,2.124759352,0,1,1
158,8.461330874,3.771944146,1,1,1
159,7.726134807999999,3.7206369039999996,1,1,1
161,8.927078148,4.601860959,1,1,0
162,6.20801554,4.334615732,0,1,0
163,6.128425635,4.633823862,0,1,0
165,7.308048847999999,3.696119712,1,1,1
167,8.640886409,5.263101572,1,0,0
169,8.153210075,2.905788134,1,1,1
170,8.29372011,3.954715283,1,1,1
173,9.489972878,4.219967522,1,1,0
174,7.830976343,4.588784657,1,1,1
175,4.430281212,4.384565156,0,1,0
176,7.240739639,3.556297467,1,1,1
178,6.867301322,3.82359504,0,1,1
179,6.129637015,4.6158861810000005,0,1,0
180,7.917049443,3.659484625,1,1,1
181,6.511618075,4.850433708,0,1,1
182,5.323815584,2.880721846,0,1,0
183,6.769572869,5.22054027,0,0,1
184,5.87797404,4.032259504,0,1,0
185,9.534021716,2.768238928,1,1,0
186,6.340027628,3.686001324,0,1,0
187,8.66159243,3.67043101,1,1,0
188,5.653506135,5.1989855039999995,0,0,0
189,6.6260121839999995,4.194313129,0,1,1
190,7.793833573,4.172935335,1,1,1
191,7.59312765,3.377337638,1,1,1
192,7.362736502000001,4.408513182,1,1,1
193,9.320305445,4.205809732,1,1,0
194,3.719791644,2.718397734,0,1,0
195,6.655605026,2.951644715,0,1,1
196,9.868877881,3.355489791,1,1,0
197,5.590614436,4.726845017,0,1,0
198,5.5544365110000005,2.0959140869999997,0,1,0
199,4.126528715,4.460200984,0,1,0
200,5.970035657,5.428674072000001,0,0,0
202,8.369154353999999,3.629749331,1,1,1
203,6.284248242,3.377132289,0,1,0
204,11.26782838,4.153347001,1,1,0
205,9.298018008,3.681324244,1,1,0
206,7.895469246,4.2369473,1,1,1
207,7.9474857860000006,3.70085384,1,1,1
208,10.02615916,4.182277582,1,1,0
209,6.48819324,4.592073571,0,1,0
210,5.869736755,4.689315048,0,1,0
212,5.30414266,4.165723664,0,1,0
213,7.533614823,3.4627639869999998,1,1,1
214,4.077607725,2.758658531,0,1,0
216,7.086168401,3.416539753,1,1,1
217,6.271012171000001,5.303581361,0,0,0
218,7.957768344,3.450745892,1,1,1
219,8.875642277999999,4.006991558999999,1,1,0
221,6.613709117999999,3.5397711110000003,0,1,1
222,7.735705022,2.1486115359999998,1,1,1
223,9.925041327999999,4.703803488999999,1,1,0
224,9.00258311,4.904837415,1,1,0
225,5.095766465,4.35219347,0,1,0
226,8.594677107999999,4.754072498999999,1,1,0
227,7.083779061,3.887680685,1,1,1
228,7.682872497999999,3.7786067880000003,1,1,1
230,6.419772474,3.095233157,0,1,0
231,4.443238899,3.268324836,0,1,0
232,6.978664262000001,4.766943236,0,1,1
233,6.623613566,2.915165951,0,1,1
234,3.664710562,3.3161576569999998,0,1,0
235,4.814135621,5.190851805,0,0,0
236,5.779673705,4.656377233,0,1,0
237,6.937818782999999,3.724089564,0,1,1
238,7.436782609,3.7276637189999997,1,1,1
239,4.723312573,3.917586695,0,1,0
240,9.380658051000001,4.034349047,1,1,0
241,7.810144932999999,4.033773709,1,1,1
242,9.436637164,4.41111744,1,1,0
243,9.406325752999999,3.0972779569999997,1,1,0
244,6.321259315,4.501457203999999,0,1,0
246,4.705356496,3.4374501339999997,0,1,0
247,8.896418987999999,3.700945733,1,1,0
248,6.581878202,4.201662863999999,0,1,1
249,6.755145902000001,5.1627297489999995,0,0,1
250,9.445129838,3.875165247,1,1,0
251,9.024845037,3.9852505060000003,1,1,0
253,6.80011909,3.8549398999999998,0,1,1
254,7.174135163,3.9398956569999997,1,1,1
255,7.657991237,2.437296288,1,1,1
256,8.322986672,4.0521357280000005,1,1,1
257,5.934279093,5.217895024,0,0,0
258,9.802720782,2.7646338810000004,1,1,0
259,6.101955231,3.53559633,0,1,0
260,4.997770601,3.4046329060000002,0,1,0
261,4.815766791000001,4.375223811000001,0,1,0
262,6.548020557999999,3.6118603719999998,0,1,1
263,13.17540172,4.10692449,1,1,0
264,6.618010906,4.4376957489999995,0,1,1
265,7.788054732999999,3.3687572169999997,1,1,1
266,5.191834327,3.859800939,0,1,0
267,5.626339528,1.9433187769999998,0,1,0
268,6.869638941,4.726702454,0,1,1
269,9.058628424,3.65213447,1,1,0
270,7.291888325,5.328712788,1,0,1
271,7.2759087739999995,5.062297798,1,0,1
272,6.512737124,4.612963628999999,0,1,1
273,7.207886781,3.762741072,1,1,1
275,5.324941856000001,4.427137926,0,1,0
276,7.082300649,3.4855773880000003,1,1,1
277,5.33418358,5.091357101,0,0,0
278,10.7618978,4.661798516,1,1,0
279,6.286806948,4.104863275,0,1,0
280,9.794558699,2.9454187380000003,1,1,0
281,8.210443565,4.97605516,1,1,1
282,6.941719438,4.563183171,0,1,1
283,10.35611883,4.201849441,1,1,0
284,7.958984292,4.698007916,1,1,1
285,3.8826310810000004,3.7340013869999997,0,1,0
286,5.671773833,3.833159746,0,1,0
287,10.00330054,4.7463818589999995,1,1,0
288,6.552847474,4.687986155,0,1,1
289,7.628552722999999,4.182057148,1,1,1
290,4.79084054,3.258858945,0,1,0
291,7.710959938999999,4.28894682,1,1,1
292,8.291299006000001,3.424701921,1,1,1
293,6.193170101000001,3.466645288,0,1,0
294,9.032660579,4.927218272,1,1,0
295,6.139493741,3.2609068530000003,0,1,0
296,7.12942473,3.418610803,1,1,1
298,5.4185037629999995,4.506539591,0,1,0
299,8.075494508,3.682919645,1,1,1
301,10.04967372,5.133477823,1,0,0
302,5.667650647,3.6332137560000004,0,1,0
304,8.923980607999999,4.15558319,1,1,0
305,6.428866312999999,4.184783372,0,1,0
306,6.9606035020000006,4.978820188,0,1,1
307,5.873675846,5.412090885,0,0,0
308,6.79546901,5.1630881539999995,0,0,1
309,10.04102797,3.8075626060000003,1,1,0
311,7.2960377339999996,4.168526118,1,1,1
313,5.862641233,5.50742094,0,0,0
314,7.292141805,4.466912563999999,1,1,1
315,8.062805642999999,4.471842,1,1,1
316,7.82197094,3.532958335,1,1,1
317,11.301794000000001,3.309580397,1,1,0
318,6.593764312999999,2.346578095,0,1,1
319,9.161088612999999,4.888061137,1,1,0
321,4.642953052,3.982867293,0,1,0
322,7.798453676,4.107267203,1,1,1
323,5.564342491000001,2.285987849,0,1,0
324,7.886591227,4.589983508,1,1,1
325,7.443189014,2.664832796,1,1,1
326,3.6571231330000002,3.31462973,0,1,0
327,9.597191857,5.1451528710000005,1,0,0
328,6.964225943,3.990437572,0,1,1
329,7.6729095229999995,4.2682274819999995,1,1,1
330,6.737004072,4.063170288999999,0,1,1
332,5.382489039,4.173330283,0,1,0
333,7.022952113,4.971907099,1,1,1
335,10.02622381,3.7362284710000004,1,1,0
336,5.583832997999999,3.8701569210000004,0,1,0
337,7.952929116,5.260014766,1,0,1
338,5.500186641,4.178478951000001,0,1,0
339,7.543700466000001,3.630536578,1,1,1
340,6.848331559,4.396604556000001,0,1,1
342,5.910251729,3.6609229080000003,0,1,0
343,8.716820334,3.2051287669999997,1,1,0
344,6.0168891360000005,4.422269233,0,1,0
345,9.567822726000001,4.197919055,1,1,0
346,4.2962470239999995,4.1633289819999995,0,1,0
347,3.551579177,3.96599397,0,1,0
348,8.529669347999999,3.776040837,1,1,0
349,8.065339036000001,3.7563917069999997,1,1,1
350,9.158445163,4.525236731000001,1,1,0
351,8.848586283,4.014681858,1,1,0
352,9.495456382,4.168541278999999,1,1,0
353,8.052893916,3.6348445419999997,1,1,1
354,2.7985490989999997,3.6632522219999997,0,1,0
355,6.425873866,3.731936503,0,1,0
356,7.757269666,4.165432286000001,1,1,1
357,7.748654706,2.511810493,1,1,1
358,5.1173903030000005,3.937188442,0,1,0
359,7.481535362000001,4.2620654369999995,1,1,1
360,5.374222585,3.642778438,0,1,0
361,7.063646976,3.39586624,1,1,1
362,6.876451042999999,4.545340927,0,1,1
363,4.812433652,3.0209959,0,1,0
364,4.993530734,3.1538093369999998,0,1,0
365,4.788861062,2.8968521860000003,0,1,0
366,4.037287739,3.04504857,0,1,0
367,6.505872509,4.497528597,0,1,1
368,6.779773967000001,2.729104523,0,1,1
369,6.952511674,4.105495485,0,1,1
370,5.628406919,5.050683115,0,0,0
371,5.966000489,4.177139266,0,1,0
372,6.319431545,2.653126688,0,1,0
373,8.02724787,3.4806408369999997,1,1,1
374,8.882684452000001,3.827920867,1,1,0
375,5.991283475,4.840562301,0,1,0
376,10.27244427,3.1798847269999997,1,1,0
378,6.105140135,3.103089844,0,1,0
379,9.443358884,3.4866464089999996,1,1,0
380,6.887414371,4.564188355,0,1,1
381,6.512900833,4.404040365,0,1,1
382,5.772718095,6.494249467,0,0,0
383,4.912557262,4.897372508,0,1,0
384,9.739561949,2.5680798769999997,1,1,0
385,5.541979018999999,3.672975983,0,1,0
388,6.448931032999999,3.6221955219999997,0,1,0
389,5.477912295,3.774256121,0,1,0
390,8.544708662,2.31815248,1,1,0
391,7.3785970160000005,3.215219463,1,1,1
392,6.66400305,2.227727884,0,1,1
393,6.775582812000001,4.333636278,0,1,1
394,8.736371211,3.8021161169999997,1,1,0
395,7.146976296,4.025762216,1,1,1
397,5.040331692,3.603325615,0,1,0
399,7.745499128,4.043334781,1,1,1
400,6.259651602999999,4.213405262,0,1,0
401,8.59639118,3.5198843660000003,1,1,0
402,5.767349597000001,3.896090487,0,1,0
403,7.088940642000001,5.661104287000001,1,0,1
404,8.029181612999999,4.388551012,1,1,1
406,4.725785565,3.15633142,0,1,0
407,8.19576536,3.218709224,1,1,1
408,6.443753667999999,4.4986849310000006,0,1,0
409,7.039094321,4.366031351,1,1,1
412,6.945224092,4.823082014,0,1,1
413,5.742110407,3.323069564,0,1,0
414,5.59662785,5.235111121,0,0,0
415,7.350378987000001,3.6639221839999996,1,1,1
416,6.262798867000001,4.012517558,0,1,0
417,9.927023723,4.0517334730000005,1,1,0
418,5.381407519,4.364066935,0,1,0
419,4.9613527280000005,3.9028378339999996,0,1,0
420,6.457097525,2.637364885,0,1,0
421,6.53936951,4.527364378,0,1,1
422,6.252410005,2.7229081610000003,0,1,0
423,7.9673448229999995,4.069358772,1,1,1
425,7.60952119,3.145842903,1,1,1
426,6.887863943999999,5.454487652,0,0,1
427,9.879071258,4.218831154,1,1,0
428,7.63876177,4.496626599,1,1,1
429,6.961891686,3.44672846,0,1,1
430,8.060609624,3.60090567,1,1,1
431,7.2402717910000005,3.832597167,1,1,1
432,7.4867797089999994,5.048833995,1,0,1
433,8.410460643,2.9773599460000004,1,1,1
434,6.143921454,3.476213304,0,1,0
435,6.09617989,5.142471132,0,0,0
436,6.384824009,4.144998518,0,1,0
437,9.462666017,2.8501837660000002,1,1,0
438,7.8681470860000005,4.3158984060000005,1,1,1
439,5.873157137000001,5.120887965,0,0,0
441,6.5293044479999995,3.361088407,0,1,1
442,5.152203722,4.689842818,0,1,0
443,7.858662778999999,3.422470521,1,1,1
444,7.704410252000001,3.031364369,1,1,1
445,6.728004386,4.410697353,0,1,1
446,10.46450248,4.956358408,1,1,0
447,9.11278625,4.567087634,1,1,0
448,8.079808358,3.6110574410000003,1,1,1
449,7.078659419,3.696640141,1,1,1
451,8.043889299,3.15994937,1,1,1
452,7.040244978,3.993409764,1,1,1
453,5.483974109,4.063613621,0,1,0
454,8.53440688,2.5447337009999997,1,1,0
455,7.266594535,3.357439471,1,1,1
456,6.2566511479999996,4.181050753,0,1,0
457,7.240351006,3.7829718999999997,1,1,1
458,8.692115322000001,2.283475159,1,1,0
459,8.639540978,4.192932215,1,1,0
460,7.179864149,3.8784473139999998,1,1,1
461,7.163999222999999,3.3543222669999997,1,1,1
462,8.926113143,2.752134121,1,1,0
463,6.353110302,2.856175487,0,1,0
464,6.681553567999999,2.956748075,0,1,1
465,5.445325981,3.946989523,0,1,0
466,7.539881893,4.53159367,1,1,1
468,4.37047658,4.649382033999999,0,1,0
469,10.31640038,3.4073494280000003,1,1,0
470,6.599593819,4.702310753,0,1,1
471,4.197583589,5.2064801769999995,0,0,0
472,7.9207945639999995,3.374326523,1,1,1
473,6.330732765,3.9400004230000003,0,1,0
475,7.76414261,4.105178268,1,1,1
476,8.237142634,4.939109441,1,1,1
477,5.679234115,2.339572736,0,1,0
478,7.417570368,4.671557881,1,1,1
479,4.775983439,4.382161619,0,1,0
480,7.86509497,4.795025555,1,1,1
481,5.903465715,4.587086719,0,1,0
482,7.7057110060000005,3.861956077,1,1,1
483,7.815121778,3.096163272,1,1,1
484,6.139743032,3.841221574,0,1,0
485,5.041405028,4.543685761,0,1,0
486,8.675192692000001,4.97857536,1,1,0
487,7.689358004,4.978556095,1,1,1
488,8.570129121,4.604404561,1,1,0
489,5.6717623260000005,3.268693507,0,1,0
490,6.624806427999999,2.8409107560000004,0,1,1
491,6.541007699,2.3559342290000003,0,1,1
493,9.241197563,5.265728858,1,0,0
495,6.340809022,5.45860969,0,0,0
496,5.980357227000001,4.247240149,0,1,0
497,7.60597883,3.2428499289999997,1,1,1
498,6.4275124429999995,6.032994877,0,0,0
500,6.1090733120000005,4.881101138,0,1,0
501,5.842933081,4.143224936,0,1,0
502,5.36754649,4.267189591,0,1,0
503,5.345887147,2.950360943,0,1,0
504,5.386307352,3.662563465,0,1,0
505,9.919478426,4.11748804,1,1,0
507,7.121458435,3.7746005260000004,1,1,1
508,9.418296122000001,4.604633154,1,1,0
509,7.457164757999999,4.106543052,1,1,1
510,5.27222756,5.068556189,0,0,0
511,7.29195704,4.237643894,1,1,1
512,7.8038332210000005,2.907387267,1,1,1
513,6.844350911,2.877062813,0,1,1
514,5.608745232,4.644211645,0,1,0
515,5.701154645,3.403136416,0,1,0
516,5.412762497999999,4.091205593,0,1,0
518,5.018132383999999,4.286478967,0,1,0
519,4.552238411,3.9328043339999996,0,1,0
521,7.025305942,5.989542791,1,0,1
522,5.770620968999999,4.240821478,0,1,0
523,8.437875983,3.8154689939999997,1,1,1
524,5.907078268999999,4.296479908999999,0,1,0
525,6.89834133,5.371284156000001,0,0,1
526,10.25273437,3.290372492,1,1,0
527,8.206499938,4.22512093,1,1,1
528,7.286167388,4.686019916,1,1,1
529,8.809296432,3.87905374,1,1,0
530,6.641500687000001,4.694311216,0,1,1
531,6.145148361,4.600885755,0,1,0
532,5.906441765,4.807495942,0,1,0
533,5.38984593,3.5776749210000003,0,1,0
534,5.006562979,3.665205612,0,1,0
535,6.5036382,4.9631844339999995,0,1,1
536,9.606858896,4.405351952,1,1,0
537,8.742229882,2.8423931860000002,1,1,0
538,8.394397412,2.83390143,1,1,1
540,3.841205038,3.635634543,0,1,0
541,4.3013734669999995,3.067626699,0,1,0
542,9.895889213,3.813428659,1,1,0
543,4.319440673,3.2419721010000004,0,1,0
544,8.313773604,4.290071516,1,1,1
546,3.410359671,3.7217657689999997,0,1,0
547,7.510943342000001,3.3424090539999995,1,1,1
548,6.978290867999999,4.931878079,0,1,1
550,7.46072722,3.949014618,1,1,1
552,7.220165552999999,4.398685036,1,1,1
553,8.790851189,3.480271755,1,1,0
556,9.049166054,2.814000683,1,1,0
557,9.515140615,3.8128876610000004,1,1,0
558,6.14524294,4.09093992,0,1,0
559,7.494212047,5.492704955,1,0,1
560,7.0918858170000005,5.116406585,1,0,1
561,6.624572528,4.333720849,0,1,1
562,6.032188903,3.423831621,0,1,0
563,6.344095425,3.843484016,0,1,0
565,7.459144858999999,3.841052038,1,1,1
566,6.361666802999999,3.6817651139999996,0,1,0
567,9.011588754,2.897292531,1,1,0
568,7.466213132000001,2.0818456569999997,1,1,1
569,5.739816332999999,2.722571208,0,1,0
570,7.785106673,4.9046130439999995,1,1,1
571,7.138586781,3.272429761,1,1,1
572,8.805177745,5.176205069,1,0,0
573,8.003031485,3.1375512060000004,1,1,1
574,7.157337864,5.183622115,1,0,1
575,6.4273651439999995,3.5688231530000003,0,1,0
576,6.124672271000001,3.6310067089999998,0,1,0
577,8.457901037000001,4.914276095,1,1,1
578,5.772197394,3.0789858389999996,0,1,0
580,6.760790523,4.905490433,0,1,1
581,7.895045662,3.084431233,1,1,1
582,8.576739928,3.916114733,1,1,0
583,5.596729817999999,3.826158191,0,1,0
584,8.145632374,4.307547519,1,1,1
585,6.665495067999999,3.928495392,0,1,1
586,6.499067997999999,4.355880125,0,1,0
587,9.735889388,5.573210319,1,0,0
588,9.268281895,5.255703382,1,0,0
590,10.0596421,3.81878876,1,1,0
591,6.475885399,4.306112971,0,1,0
592,6.096128348,2.9564474780000003,0,1,0
593,6.297845634,1.680554025,0,1,0
594,5.284096687,4.800963142,0,1,0
595,8.26994471,3.076479932,1,1,1
596,6.03956779,4.206835504,0,1,0
597,6.243279004,3.4728392130000003,0,1,0
598,8.214099764,3.38186391,1,1,1
602,9.836030547,4.219118008,1,1,0
603,8.719764332,2.887725422,1,1,0
604,7.009601694,3.1219448510000003,1,1,1
605,6.492638846,4.667770161,0,1,0
606,7.814524321,2.901699556,1,1,1
607,9.652562935,3.1925697989999997,1,1,0
608,8.00754122,5.25017306,1,0,1
611,7.386837696000001,4.816705216,1,1,1
612,5.497580321,5.060114929,0,0,0
613,6.057828113999999,3.292249267,0,1,0
615,6.268953337,4.674495973,0,1,0
617,6.284984822,5.703287743,0,0,0
618,9.043095632,4.008499341,1,1,0
619,8.523062078999999,5.112376365,1,0,0
622,4.02905271,4.1796562669999995,0,1,0
623,6.412707042,5.014144883999999,0,0,0
624,6.27629499,4.342759277,0,1,0
625,7.648877927999999,4.9535338630000005,1,1,1
626,5.548181849,3.945460484,0,1,0
628,7.468617019,3.384178841,1,1,1
630,7.918150471000001,4.028958007,1,1,1
633,5.433242117000001,3.6757176730000003,0,1,0
634,8.33951161,4.827704247,1,1,1
635,6.715719087999999,2.443008006,0,1,1
636,6.09801209,4.590616741,0,1,0
637,6.576845323,3.771313518,0,1,1
638,4.68109876,4.125750333,0,1,0
639,8.15121531,3.5239805060000005,1,1,1
642,5.669689566000001,3.5921334239999996,0,1,0
643,6.6249436,3.546696372,0,1,1
644,8.273643584,3.331583735,1,1,1
647,10.50966863,3.505078834,1,1,0
648,5.171434093999999,2.949431503,0,1,0
649,6.9641983,2.395683182,0,1,1
650,6.548796521,4.197305125,0,1,1
651,6.555439263999999,3.79204017,0,1,1
652,9.042582866,4.34844014,1,1,0
653,5.970578907999999,5.013281168,0,0,0
654,6.273805782,4.510405324,0,1,0
655,6.604007988999999,4.458966913,0,1,1
656,7.14394199,3.792840307,1,1,1
657,8.11644657,2.934697437,1,1,1
658,7.66518778,2.7071291619999998,1,1,1
659,5.555352973,4.536145914,0,1,0
660,7.543931305,3.7031913060000003,1,1,1
662,7.340170884,3.919139533,1,1,1
663,10.01518906,3.846547549,1,1,0
665,7.846463341000001,3.885623898,1,1,1
667,6.334162776,4.038829793000001,0,1,0
668,9.616095703,2.946643668,1,1,0
670,8.892998479,3.619132805,1,1,0
672,8.1414299,4.350921901,1,1,1
673,8.165714933,3.92011648,1,1,1
674,4.931958445,5.045982883,0,0,0
675,8.977821882999999,3.1999996139999998,1,1,0
676,7.372611796,3.1825211189999996,1,1,1
677,9.107330382999999,4.492139948999999,1,1,0
678,4.168248461,2.804525051,0,1,0
679,7.806909022999999,5.127910988,1,0,1
680,6.704635426,3.42217862,0,1,1
681,3.623165848,5.370205549,0,0,0
682,7.966856824,5.115430914,1,0,1
683,4.595607756000001,3.978919807,0,1,0
685,3.9944976060000004,3.3791473510000003,0,1,0
686,8.907987118,4.641258532,1,1,0
687,5.898726325,4.899815187,0,1,0
688,9.514626622,2.64503637,1,1,0
689,8.842463656,4.576728706,1,1,0
690,7.7210784939999995,3.22395109,1,1,1
691,9.089421097999999,4.430116016,1,1,0
692,1.757037115,2.96755413,0,1,0
693,7.725192099,4.1633255369999995,1,1,1
694,6.729191489,5.112254251,0,0,1
695,5.085429353,3.96173067,0,1,0
696,9.545270521,4.983903465,1,1,0
698,6.246264054,5.044454778,0,0,0
699,7.376449105,5.767354666,1,0,1
700,7.8024260839999995,4.363529881,1,1,1
701,8.596767212,3.2386929330000003,1,1,0
702,6.436444496,3.415851385,0,1,0
703,7.333477726,4.772662701000001,1,1,1
704,6.144759037999999,3.082080496,0,1,0
705,4.725997721000001,3.6446065410000004,0,1,0
706,5.393345914,4.6338547519999995,0,1,0
707,5.624819996,4.355489162,0,1,0
708,5.768868031,3.092626379,0,1,0
710,5.251353815,4.072252323,0,1,0
711,7.6887859160000005,3.918673156,1,1,1
712,3.6810762710000002,3.8930704030000003,0,1,0
713,4.897691707,3.894464333,0,1,0
714,5.842754601,4.4903925639999995,0,1,0
716,5.038316783,3.9136957760000004,0,1,0
717,9.961247709,3.246583097,1,1,0
718,7.417502637,3.391240667,1,1,1
720,5.099932005,5.159301248999999,0,0,0
721,3.6331628289999998,3.349571655,0,1,0
722,8.860450854,4.677713327,1,1,0
723,10.13793229,3.8720181589999996,1,1,0
724,9.90081484,2.39500211,1,1,0
725,10.2684305,4.304689262,1,1,0
726,0.22749905,3.5457414380000003,0,1,0
727,6.0172609239999995,4.427712282,0,1,0
728,7.110845137999999,5.712792127,1,0,1
729,6.350290472,4.265233067,0,1,0
730,8.12934172,4.8220435639999994,1,1,1
731,10.25281623,4.559836219,1,1,0
732,5.462355935,4.486180492,0,1,0
733,9.239440361,3.4719711269999998,1,1,0
734,7.071314192000001,4.29372656,1,1,1
735,7.115895266,3.736020547,1,1,1
736,8.238996597,3.0899237489999996,1,1,1
737,6.446252032,4.9769578580000005,0,1,0
738,6.161779499,4.003547029,0,1,0
739,6.772156538,3.827255961,0,1,1
740,7.06184552,3.9582485039999997,1,1,1
741,4.638250258999999,4.124537825,0,1,0
742,7.678966889,3.718981559,1,1,1
743,8.137713063,2.7438667519999997,1,1,1
744,7.481397772,4.03997629,1,1,1
745,8.082148076000001,3.373484514,1,1,1
747,7.702183099,4.382159162,1,1,1
748,6.750761186,2.777726265,0,1,1
750,6.3239420729999996,3.5750105760000004,0,1,0
751,5.403883692000001,3.1899422989999997,0,1,0
752,5.699873488,2.4164020980000003,0,1,0
753,7.694264582000001,5.707192759,1,0,1
754,8.581428694,3.388448222,1,1,0
755,9.888941401,3.75016351,1,1,0
756,3.4264503680000002,5.97805394,0,0,0
757,8.370440489,3.21063541,1,1,1
759,8.390500572,4.150359337,1,1,1
760,7.58194468,4.833345774,1,1,1
761,9.850054687,4.521836127,1,1,0
762,5.225683807,3.6957469819999997,0,1,0
763,9.663653196,4.741944305,1,1,0
765,7.935607325,3.6196507369999997,1,1,1
