ph,Turbidity
6.869638941,4.726702454
9.058628424,3.65213447
7.291888325,5.328712788
7.275908774,5.062297798
6.512737124,4.612963629
7.207886781,3.762741072
,3.772919265
5.324941856,4.427137926
7.082300649,3.485577388
5.33418358,5.091357101
10.7618978,4.661798516
6.286806948,4.104863275
9.794558699,2.945418738
8.210443565,4.97605516
6.941719438,4.563183171
10.35611883,4.201849441
7.958984292,4.698007916
3.882631081,3.734001387
5.671773833,3.833159746
10.00330054,4.746381859
6.552847474,4.687986155
7.628552723,4.182057148
4.79084054,3.258858945
7.710959939,4.28894682
8.291299006,3.424701921
6.193170101,3.466645288
9.032660579,4.927218272
6.139493741,3.260906853
7.12942473,3.418610803
,4.109590274
5.418503763,4.506539591
8.075494508,3.682919645
,4.081701398
10.04967372,5.133477823
5.667650647,3.633213756
,3.807920062
8.923980608,4.15558319
6.428866313,4.184783372
6.960603502,4.978820188
5.873675846,5.412090885
6.79546901,5.163088154
10.04102797,3.807562606
,4.124780678
7.296037734,4.168526118
,3.497577391
5.862641233,5.50742094
7.292141805,4.466912564
8.062805643,4.471842
7.82197094,3.532958335
11.301794,3.309580397
6.593764313,2.346578095
9.161088613,4.888061137
,5.922581692
4.642953052,3.982867293
7.798453676,4.107267203
5.564342491,2.285987849
7.886591227,4.589983508
7.443189014,2.664832796
3.657123133,3.31462973
9.597191857,5.145152871
6.964225943,3.990437572
7.672909523,4.268227482
6.737004072,4.063170289
,4.135745329
5.382489039,4.173330283
7.022952113,4.971907099
,2.969136099
10.02622381,3.736228471
5.583832998,3.870156921
7.952929116,5.260014766
5.500186641,4.178478951
7.543700466,3.630536578
6.848331559,4.396604556
,3.779554492
5.910251729,3.660922908
8.716820334,3.205128767
6.016889136,4.422269233
9.567822726,4.197919055
4.296247024,4.163328982
3.551579177,3.96599397
8.529669348,3.776040837
8.065339036,3.756391707
9.158445163,4.525236731
8.848586283,4.014681858
9.495456382,4.168541279
8.052893916,3.634844542
2.798549099,3.663252222
6.425873866,3.731936503
7.757269666,4.165432286
7.748654706,2.511810493
5.117390303,3.937188442
7.481535362,4.262065437
5.374222585,3.642778438
7.063646976,3.39586624
6.876451043,4.545340927
4.812433652,3.0209959
4.993530734,3.153809337
4.788861062,2.896852186
4.037287739,3.04504857
6.505872509,4.497528597
6.779773967,2.729104523
6.952511674,4.105495485
5.628406919,5.050683115
5.966000489,4.177139266
6.319431545,2.653126688
8.02724787,3.480640837
8.882684452,3.827920867
5.991283475,4.840562301
10.27244427,3.179884727
,4.728123985
6.105140135,3.103089844
9.443358884,3.486646409
6.887414371,4.564188355
6.512900833,4.404040365
5.772718095,6.494249467
4.912557262,4.897372508
9.739561949,2.568079877
5.541979019,3.672975983
,3.601735481
,3.451740047
6.448931033,3.622195522
5.477912295,3.774256121
8.544708662,2.31815248
7.378597016,3.215219463
6.66400305,2.227727884
6.775582812,4.333636278
8.736371211,3.802116117
7.146976296,4.025762216
,5.652222113
5.040331692,3.603325615
,4.003819012
7.745499128,4.043334781
6.259651603,4.213405262
8.59639118,3.519884366
5.767349597,3.896090487
7.088940642,5.661104287
8.029181613,4.388551012
,4.120931424
4.725785565,3.15633142
8.19576536,3.218709224
6.443753668,4.498684931
7.039094321,4.366031351
,4.407566169
,5.110414149
6.945224092,4.823082014
5.742110407,3.323069564
5.59662785,5.235111121
7.350378987,3.663922184
6.262798867,4.012517558
9.927023723,4.051733473
5.381407519,4.364066935
4.961352728,3.902837834
6.457097525,2.637364885
6.53936951,4.527364378
6.252410005,2.722908161
7.967344823,4.069358772
,4.825792283
7.60952119,3.145842903
6.887863944,5.454487652
9.879071258,4.218831154
7.63876177,4.496626599
6.961891686,3.44672846
8.060609624,3.60090567
7.240271791,3.832597167
7.486779709,5.048833995
8.410460643,2.977359946
6.143921454,3.476213304
6.09617989,5.142471132
6.384824009,4.144998518
9.462666017,2.850183766
7.868147086,4.315898406
5.873157137,5.120887965
,5.14411422
6.529304448,3.361088407
5.152203722,4.689842818
7.858662779,3.422470521
7.704410252,3.031364369
6.728004386,4.410697353
10.46450248,4.956358408
9.11278625,4.567087634
8.079808358,3.611057441
7.078659419,3.696640141
,4.093097749
8.043889299,3.15994937
7.040244978,3.993409764
5.483974109,4.063613621
8.53440688,2.544733701
7.266594535,3.357439471
6.256651148,4.181050753
7.240351006,3.7829719
8.692115322,2.283475159
8.639540978,4.192932215
7.179864149,3.878447314
7.163999223,3.354322267
8.926113143,2.752134121
6.353110302,2.856175487
6.681553568,2.956748075
5.445325981,3.946989523
7.539881893,4.53159367
,4.482459764
4.37047658,4.649382034
10.31640038,3.407349428
6.599593819,4.702310753
4.197583589,5.206480177
7.920794564,3.374326523
6.330732765,3.940000423
,5.128346524
7.76414261,4.105178268
8.237142634,4.939109441
5.679234115,2.339572736
7.417570368,4.671557881
4.775983439,4.382161619
7.86509497,4.795025555
5.903465715,4.587086719
7.705711006,3.861956077
7.815121778,3.096163272
6.139743032,3.841221574
5.041405028,4.543685761
8.675192692,4.97857536
7.689358004,4.978556095
8.570129121,4.604404561
5.671762326,3.268693507
6.624806428,2.840910756
6.541007699,2.355934229
,6.739
9.241197563,5.265728858
,4.514981624
6.340809022,5.45860969
5.980357227,4.247240149
7.60597883,3.242849929
6.427512443,6.032994877
,3.888235227
6.109073312,4.881101138
5.842933081,4.143224936
5.36754649,4.267189591
5.345887147,2.950360943
5.386307352,3.662563465
9.919478426,4.11748804
,4.328026357
7.121458435,3.774600526
9.418296122,4.604633154
7.457164758,4.106543052
5.27222756,5.068556189
7.29195704,4.237643894
7.803833221,2.907387267
6.844350911,2.877062813
5.608745232,4.644211645
5.701154645,3.403136416
5.412762498,4.091205593
,3.912148351
5.018132384,4.286478967
4.552238411,3.932804334
,4.613578722
7.025305942,5.989542791
5.770620969,4.240821478
8.437875983,3.815468994
5.907078269,4.296479909
6.89834133,5.371284156
10.25273437,3.290372492
8.206499938,4.22512093
7.286167388,4.686019916
8.809296432,3.87905374
6.641500687,4.694311216
6.145148361,4.600885755
5.906441765,4.807495942
5.38984593,3.577674921
5.006562979,3.665205612
6.5036382,4.963184434
9.606858896,4.405351952
8.742229882,2.842393186
8.394397412,2.83390143
,3.257744181
3.841205038,3.635634543
4.301373467,3.067626699
9.895889213,3.813428659
4.319440673,3.241972101
8.313773604,4.290071516
,2.380084227
3.410359671,3.721765769
7.510943342,3.342409054
6.978290868,4.931878079
,4.380978304
7.46072722,3.949014618
,4.54358117
7.220165553,4.398685036
8.790851189,3.480271755
,4.148611317
,5.77661102
9.049166054,2.814000683
9.515140615,3.812887661
6.14524294,4.09093992
7.494212047,5.492704955
7.091885817,5.116406585
6.624572528,4.333720849
6.032188903,3.423831621
6.344095425,3.843484016
,4.10343896
7.459144859,3.841052038
6.361666803,3.681765114
9.011588754,2.897292531
7.466213132,2.081845657
5.739816333,2.722571208
7.785106673,4.904613044
7.138586781,3.272429761
8.805177745,5.176205069
8.003031485,3.137551206
7.157337864,5.183622115
6.427365144,3.568823153
6.124672271,3.631006709
8.457901037,4.914276095
5.772197394,3.078985839
,4.589161805
6.760790523,4.905490433
7.895045662,3.084431233
8.576739928,3.916114733
5.596729818,3.826158191
8.145632374,4.307547519
6.665495068,3.928495392
6.499067998,4.355880125
9.735889388,5.573210319
9.268281895,5.255703382
,3.9991255
10.0596421,3.81878876
6.475885399,4.306112971
6.096128348,2.956447478
6.297845634,1.680554025
5.284096687,4.800963142
8.26994471,3.076479932
6.03956779,4.206835504
6.243279004,3.472839213
8.214099764,3.38186391
,3.916745527
,4.284878629
,3.569570266
9.836030547,4.219118008
8.719764332,2.887725422
7.009601694,3.121944851
6.492638846,4.667770161
7.814524321,2.901699556
9.652562935,3.192569799
8.00754122,5.25017306
,3.716659341
,3.845127166
7.386837696,4.816705216
5.497580321,5.060114929
6.057828114,3.292249267
,4.235174415
6.268953337,4.674495973
,4.969149725
6.284984822,5.703287743
9.043095632,4.008499341
8.523062079,5.112376365
,4.183319911
,2.913048443
4.02905271,4.179656267
6.412707042,5.014144884
6.27629499,4.342759277
7.648877928,4.953533863
5.548181849,3.945460484
,2.604959925
7.468617019,3.384178841
,3.764703594
7.918150471,4.028958007
,4.266775395
,4.161749271
5.433242117,3.675717673
8.33951161,4.827704247
6.715719088,2.443008006
6.09801209,4.590616741
6.576845323,3.771313518
4.68109876,4.125750333
8.15121531,3.523980506
,2.364558912
,5.666547311
5.669689566,3.592133424
6.6249436,3.546696372
8.273643584,3.331583735
,4.306218231
,3.282061393
10.50966863,3.505078834
5.171434094,2.949431503
6.9641983,2.395683182
6.548796521,4.197305125
6.555439264,3.79204017
9.042582866,4.34844014
5.970578908,5.013281168
6.273805782,4.510405324
6.604007989,4.458966913
7.14394199,3.792840307
8.11644657,2.934697437
7.66518778,2.707129162
5.555352973,4.536145914
7.543931305,3.703191306
,3.56139783
7.340170884,3.919139533
10.01518906,3.846547549
,2.72365054
7.846463341,3.885623898
,2.000757032
6.334162776,4.038829793
9.616095703,2.946643668
,2.475284464
8.892998479,3.619132805
,3.957011709
8.1414299,4.350921901
8.165714933,3.92011648
4.931958445,5.045982883
8.977821883,3.199999614
7.372611796,3.182521119
9.107330383,4.492139949
4.168248461,2.804525051
7.806909023,5.127910988
6.704635426,3.42217862
3.623165848,5.370205549
7.966856824,5.115430914
4.595607756,3.978919807
,4.058942266
3.994497606,3.379147351
8.907987118,4.641258532
5.898726325,4.899815187
9.514626622,2.64503637
8.842463656,4.576728706
7.721078494,3.22395109
9.089421098,4.430116016
1.757037115,2.96755413
7.725192099,4.163325537
6.729191489,5.112254251
5.085429353,3.96173067
9.545270521,4.983903465
,3.693510936
6.246264054,5.044454778
7.376449105,5.767354666
7.802426084,4.363529881
8.596767212,3.238692933
6.436444496,3.415851385
7.333477726,4.772662701
6.144759038,3.082080496
4.725997721,3.644606541
5.393345914,4.633854752
5.624819996,4.355489162
5.768868031,3.092626379
,2.775635434
5.251353815,4.072252323
7.688785916,3.918673156
3.681076271,3.893070403
4.897691707,3.894464333
5.842754601,4.490392564
,4.41481891
5.038316783,3.913695776
9.961247709,3.246583097
7.417502637,3.391240667
,4.441979836
5.099932005,5.159301249
3.633162829,3.349571655
8.860450854,4.677713327
10.13793229,3.872018159
9.90081484,2.39500211
10.2684305,4.304689262
0.22749905,3.545741438
6.017260924,4.427712282
7.110845138,5.712792127
6.350290472,4.265233067
8.12934172,4.822043564
10.25281623,4.559836219
5.462355935,4.486180492
9.239440361,3.471971127
7.071314192,4.29372656
7.115895266,3.736020547
8.238996597,3.089923749
6.446252032,4.976957858
6.161779499,4.003547029
6.772156538,3.827255961
7.06184552,3.958248504
4.638250259,4.124537825
7.678966889,3.718981559
8.137713063,2.743866752
7.481397772,4.03997629
8.082148076,3.373484514
,4.290393224
7.702183099,4.382159162
6.750761186,2.777726265
,4.649365028
6.323942073,3.575010576
5.403883692,3.189942299
5.699873488,2.416402098
7.694264582,5.707192759
8.581428694,3.388448222
9.888941401,3.75016351
3.426450368,5.97805394
8.370440489,3.21063541
,4.26852452
8.390500572,4.150359337
7.58194468,4.833345774
9.850054687,4.521836127
5.225683807,3.695746982
9.663653196,4.741944305
,5.010163393
7.935607325,3.619650737
8.92814208,4.111101546
6.920342899,3.266213475
10.53809844,3.823092676
5.729302912,3.556394812
5.335688809,3.921976381
,3.261591731
6.769834881,3.655789569
6.848329601,3.732202018
,3.30829418
,4.599572634
,4.930189986
8.589202344,4.041445671
8.473649323,3.487816307
7.591346094,4.515150114
8.137767883,5.003825786
5.35256598,4.779187009
7.998090254,2.626546784
11.89807803,3.024968487
7.442536475,2.191138422
5.140800528,4.192257449
,4.626701023
6.947915534,3.685079273
9.622105987,3.975571849
5.361211666,1.81252894
4.909518983,3.785506644
6.376408434,5.404045773
3.94012546,3.478004808
6.916825973,4.598622246
9.146557556,3.210881939
10.26841472,5.199864588
8.787667941,3.489945595
7.36876853,3.813881276
9.352719753,3.398264165
9.393148442,4.665681059
7.296572875,4.679168643
8.900864697,4.51875067
8.107244313,4.688271256
7.804368874,4.075556975
4.666148131,4.556863752
10.90507641,3.720264379
4.739548767,2.942348225
9.869231935,4.736849577
,4.32920405
5.827541212,3.179128741
0.989912213,5.160603788
,3.900508521
9.485832873,3.221129819
6.435722717,4.925339107
6.365497241,5.125416576
,5.266367539
5.452214926,5.19053381
,5.076362464
5.433466239,2.871196031
7.374775414,3.592264728
,2.951395753
5.226941884,2.259550289
4.594209164,4.917909887
6.784133024,5.035822844
6.400256164,4.561493819
6.839415898,2.854526552
6.901863449,4.047907292
,5.260301115
7.888843574,3.630523985
5.527633483,4.59113705
6.492403122,4.383394692
6.684699737,4.030659831
,5.034682957
6.223677775,3.919575057
4.758648347,4.405508764
7.440825031,2.496342612
8.054885744,3.514097775
7.061830972,4.299018587
,5.00587853
7.611609817,2.87326121
4.691438315,2.730792274
8.064170137,3.246077223
4.292966858,2.804923583
7.865756954,3.738618343
9.085637102,2.544020276
6.592442508,3.060827354
7.032818726,3.633373289
8.990317234,4.494544339
8.561218924,2.813888599
6.739157692,5.214484016
,4.23825298
6.492627157,3.378778493
6.753128353,5.102516757
5.039373609,4.957419783
8.296344056,5.400810789
5.455599352,4.476348715
7.918183321,4.764193594
5.01804587,5.035153707
6.495435285,3.39047054
,4.456104061
8.783167624,4.274136884
,3.403269587
8.159666704,2.957194849
7.685396843,4.179187128
7.762020745,3.256301329
7.207931097,4.705561884
6.9870415,4.475161103
4.692196563,4.009006062
,3.183435323
4.059431468,4.330321564
8.389945659,3.569717312
10.69553249,4.154845328
6.791696907,2.817391374
9.953952112,4.052905069
,3.837256627
4.489783796,3.776225631
8.020869103,3.442121236
5.090035332,4.83886228
6.466874709,3.408168792
6.702496216,4.267952934
5.766204134,4.47201817
6.571099217,4.555949236
8.509220049,2.519891581
5.953981878,4.071916487
5.403196492,3.871463111
5.596929951,3.506764606
10.63290961,3.722454851
4.916819229,3.836703239
7.183095932,3.806539439
5.923441415,4.10736363
7.377036504,4.531658688
7.833495881,5.580829963
4.745764371,3.699146259
9.055825785,5.45691283
5.492155983,3.294129366
4.487517479,2.765722248
7.027185659,5.35304334
10.20064451,5.174719759
6.784279329,4.045547056
8.080415244,4.070824292
,4.167336457
7.344975869,3.418763195
5.923739955,3.884460371
8.285395275,5.438487907
5.949518764,4.072197622
,2.998335472
,2.934137001
5.296578804,3.918469801
10.28206797,4.572923004
7.016836113,4.101397991
6.871607245,4.180389312
,5.504749397
8.274069059,2.575423028
8.238878989,2.784712797
5.791154373,4.104834817
6.153368957,4.030337485
7.303051906,4.14486994
7.5926723,3.341426728
6.784116115,4.072186608
5.606856131,4.070966098
,3.817778953
4.922045466,2.291694536
5.700784947,3.978141279
,3.13400015
10.67805626,4.308256961
7.602121475,3.698874769
8.846281957,2.925037558
6.751698586,3.756006672
,3.619590635
,4.43921524
5.088213197,2.600618679
6.954907217,3.169714976
8.983811794,2.445673388
9.519659984,3.994556136
4.700392724,3.481943696
10.38613293,4.921340625
5.746529194,3.808372006
,4.699120987
,3.941073832
10.8112895,4.416183694
8.966835973,3.654354962
,2.27639196
6.848805453,3.130044763
8.861701557,3.579107242
4.252985001,3.58830042
6.729829904,4.724321913
5.924540482,4.224342509
6.783888468,3.250022229
7.390896679,4.325131645
6.470151959,3.125391112
6.93039147,3.699796036
9.302441188,3.675985498
7.421997644,3.603609581
6.583064856,3.772858553
6.204429354,4.106807505
9.066628054,4.055421251
4.713116701,3.923356036
10.58138599,2.966945651
7.574261237,3.686758983
6.138785152,4.677289618
5.276323544,3.883029041
6.776879088,3.322065007
7.239415921,4.531825295
6.552279123,3.443385019
8.408766231,2.372791477
7.986398706,4.814779191
7.366915284,3.051316563
6.062738419,4.369454697
7.8564711,4.534681098
5.15839641,4.645852435
,3.458320001
6.39908051,2.620538023
7.394255556,4.263192772
4.443850856,5.038118946
8.247148271,3.94196926
4.902158989,3.499048523
6.86313625,4.319777195
6.66953238,1.964863097
7.595669984,3.403393177
8.163076383,3.287243971
8.87027826,4.182740665
8.769676022,3.776718462
4.737391257,3.853388072
7.790874862,3.076214341
,3.241267187
6.0873061,3.666671803
7.651294226,3.258041647
4.771490669,3.936972573
,3.452821864
5.392057607,2.978925445
5.477283049,6.35743852
6.364155674,4.764412042
,4.863377535
8.347949483,4.217861431
6.615981652,4.635709127
8.312379503,2.98809301
6.836224939,3.666613686
6.385470898,4.681716653
6.490037175,2.430883294
,5.284233272
6.648849186,4.827527398
,4.217553378
9.323583858,3.006650222
4.581968728,4.500207625
7.884841993,4.631640754
6.168838539,4.435760073
7.230845307,5.622018081
,4.071343675
8.693104326,2.898223061
,3.231679693
4.797460182,4.038502789
9.319176393,4.129230416
7.581687577,4.457282487
5.348213659,3.31116811
5.487876363,4.223576482
,5.486132309
8.315959071,2.760212574
8.551077748,4.04637969
6.013160966,3.455622541
5.744067537,3.171655208
5.218989651,4.383942554
,3.358353455
7.458707683,2.938082397
11.02787986,4.178897909
6.72958019,4.003458052
4.1502143,3.502370872
7.159398311,3.254926497
,3.66264816
6.209697437,3.893766831
,4.126407533
9.608533594,3.042796944
5.375895979,4.17421964
8.69712216,4.180567593
7.748928548,3.136945007
7.117917746,4.213567957
8.31002902,4.775784922
5.524296531,4.033391218
10.20142576,3.964449588
5.368125754,2.004142586
8.937802408,2.831234426
8.124207826,4.724456578
7.184973119,3.665410662
5.499489286,5.846826958
,3.371680094
5.319769073,2.92573204
6.369111631,2.275903461
6.733493842,3.178003605
6.883015402,4.102291769
8.013516429,4.44490059
8.272055091,5.140207743
8.746985976,4.763730536
8.154840855,3.696327575
9.045720545,4.213700444
8.922409559,4.081728016
5.961301572,4.919585047
,3.651864699
8.184410006,4.5990822
7.636454091,3.332906497
7.775385593,3.309471716
7.617148871,2.391540006
6.664934584,4.502138214
,3.855772964
8.815357953,2.87588018
7.765635562,3.21444964
6.225152013,2.770822653
,4.157927298
8.56704382,2.804926824
6.994194675,4.398900709
3.344588533,2.575141031
,4.565423282
,4.344804944
7.774468469,3.891097334
,2.959749614
7.203438849,6.389161009
6.150487601,3.551655811
,3.959293615
6.767523658,3.300253498
8.037430327,2.506238127
8.177174974,3.325638986
6.744799075,4.86854263
7.603775446,3.584985024
8.546145555,3.505300168
5.432512085,3.874425315
7.71408936,3.182582857
8.154531511,2.460464867
,2.9770474
7.845879929,3.667154205
7.156424495,2.958414712
5.694694238,3.8706108
6.707685556,3.822668715
4.775221956,3.223080865
,4.387208418
,2.999702321
8.501711439,5.612295662
7.741245059,3.741143366
4.187490815,4.592959344
,4.604724796
7.808012212,4.165549906
5.895948983,3.659652968
7.269652253,3.789236757
,3.89891586
9.489600966,4.300694899
7.457979827,4.497730796
7.992320364,4.342796788
7.746343115,3.678686031
8.27579563,4.72133955
6.879959452,5.688206949
6.799375518,3.819985377
8.167767663,3.41068554
,3.261651399
4.736404607,4.995601766
5.95392389,3.968647163
6.578998162,3.690929417
8.775485734,4.393944466
6.850302032,3.08029671
8.757110512,3.80879301
,3.242545448
,4.005892992
8.073278952,4.854312786
5.078274175,3.631042314
7.444914015,2.571391506
9.434005875,4.201054364
5.905906954,2.917284056
5.803496976,2.181714167
7.617151922,3.422543431
9.008464334,3.911014707
5.422445768,2.91175139
9.778181813,4.143365319
5.204938763,3.439561019
4.872560878,3.918005799
7.793914804,4.220027671
,4.081328787
7.058182608,3.613834771
7.890354274,3.209588058
7.535700191,4.208354354
7.202534416,5.702504528
,4.398059123
8.722143777,3.274628642
8.352635176,3.939011353
6.284385791,5.030712169
,4.052367138
9.30566048,4.485070147
4.923178856,3.329600783
6.14301848,5.37040341
5.744504157,3.53350015
6.616649175,3.881767178
7.62349992,4.764995184
7.860106422,3.499774684
7.393110153,4.431739047
,4.641041336
5.579517093,4.043914693
4.303574607,2.010537157
7.310715696,3.57882634
6.417702476,4.046305672
,3.89406116
10.77431809,3.229834159
5.036453976,3.534665425
,4.318271773
10.41504401,4.209136505
8.41860665,3.44284782
7.808641136,2.472720325
7.55796363,3.292270153
11.24450714,2.929952739
5.728823779,4.41217355
10.48680842,3.804352132
3.792125732,4.620685586
5.716251354,3.433135385
,4.536122682
5.473603398,4.957822241
,5.113869706
6.770926884,4.91053382
6.043360084,4.745247517
,3.09381445
6.320427823,4.553380743
9.185417502,4.186674618
8.684778672,3.877349185
7.961721463,2.286943495
5.484151254,4.43885846
7.186931122,4.275645348
5.470802484,2.962852429
,3.843405196
9.792727769,3.729120402
3.637170625,5.446565703
7.064789081,4.401627835
6.632031569,3.38629429
5.913956688,5.648605949
9.484703254,4.132274238
8.447404488,5.21830711
7.727421141,4.60180209
6.859323726,4.501980015
5.846786697,3.371110881
6.300001767,3.709437181
6.646469922,4.387601742
7.313446756,2.220639923
6.572656389,2.820927249
6.002414612,4.315308015
,3.62463525
5.93605711,3.940282339
7.591089848,4.531196013
6.875746152,3.397302572
8.016279103,4.308222881
8.783596632,3.470885424
6.911698241,4.616641008
8.719240207,3.912836037
5.974583248,3.721974696
4.429378735,4.271167637
,3.840888762
,3.190127771
8.215123507,4.511384049
7.828740105,5.199446636
7.949964795,3.31715245
6.114332051,3.68040999
,4.516869764
7.139428273,3.771596492
,4.314495017
7.96852587,3.173879163
6.635894308,4.523236866
6.394548023,3.042496818
6.280978207,4.599432014
7.992026977,4.647095594
5.068795502,4.362085653
,3.499453074
8.151248962,2.799883321
7.582941677,4.164028619
5.34411687,4.104698561
7.871961403,2.938536287
5.327023534,4.855821251
10.55027327,3.951304463
,3.068919237
7.47102667,3.70797408
7.943882477,4.111691345
2.69083124,4.650033779
9.13569426,3.281802196
5.214009194,4.453525556
8.649534947,5.229809193
7.75667895,2.842470708
7.104295204,5.464856803
5.363362645,3.871372489
6.582499747,4.152014127
6.810466517,4.402339513
,2.372924722
5.574116595,5.152527698
8.555283423,3.687152068
4.483402761,2.203840524
